State Name,District Name,Dealer Type,Agency Name,Sub District Name,Village Name
West Bengal,Bankura,WHOLESALER,CHASI GHAR,Bankura - II,
West Bengal,Bankura,WHOLESALER,BAGRAJSINI KRISHI BHAN.PVT.LTD,Bankura - II,
West Bengal,Bankura,WHOLESALER,Bankim Chandra Makur,Vishnupur,
West Bengal,Bankura,WHOLESALER,Bankura Krishi Kendra,,Sub District Headquater
West Bengal,Bankura,WHOLESALER,Beliatore A. S.Centre,,Sub District Headquater
West Bengal,Bankura,WHOLESALER,Bhumi Lakshmi Krishi Bhandar,Vishnupur,Sub District Headquater
West Bengal,Bankura,WHOLESALER,Debdulal Guin,Vishnupur,
West Bengal,Bankura,WHOLESALER,Dulal Chndra Nandi,,Sub District Headquater
West Bengal,Bankura,WHOLESALER,Dutta Krishi Bipani,,Sub District Headquater
West Bengal,Bankura,WHOLESALER,Khosalpur Skus,Patrasayer,Khosalpur
West Bengal,Bankura,WHOLESALER,Krishak Agency,,Sub District Headquater
West Bengal,Bankura,WHOLESALER,Krishi Bhandar,Vishnupur,Mayara Pukur
West Bengal,Bankura,WHOLESALER,Krishi Kendra,,Sub District Headquater
West Bengal,Bankura,WHOLESALER,Mallabhum Krishi Bhandar,,Sub District Headquater
West Bengal,Bankura,WHOLESALER,Mallick Krishi Bipani,,
West Bengal,Bankura,WHOLESALER,Mandal Traders,Bankura - I,Dhaldanga
West Bengal,Bankura,WHOLESALER,Mrinal Kanti Mahapatra,,Sub District Headquater
West Bengal,Bankura,WHOLESALER,Nandi Agro Service Centre,,Sub District Headquater
West Bengal,Bankura,WHOLESALER,Pintu Mallick,Khatra,Sub District Headquater
West Bengal,Bankura,WHOLESALER,Iffdc Kbskranjit Kumar Mandal ,Jaypur,Dasdighi
West Bengal,Bankura,WHOLESALER,Ranjit Kumar Mishra,Khatra,Sub District Headquater
West Bengal,Bankura,WHOLESALER,Shree Lakshmi Krishi Bhandar,,Sub District Headquater
West Bengal,Bankura,WHOLESALER,Siddhartha Shankar Shit,,Sub District Headquater
West Bengal,Bankura,WHOLESALER,Sital Prasad Nandi,,Sub District Headquater
West Bengal,Bankura,WHOLESALER,Sreebash Agro Service Centre,Sonamukhi,Sonamukhi (P)
West Bengal,Bankura,WHOLESALER,Sujit Chakarabarty,Raipur,Matgoda
West Bengal,Bankura,WHOLESALER,Surajit Misra,Khatra,Sub District Headquater
West Bengal,Bankura,WHOLESALER,Swapan Kumar Maji,Simlapal,Sub District Headquater
West Bengal,Bankura,WHOLESALER,West Bengal State Co-Operative,Bankura - I,
West Bengal,Bankura,WHOLESALER,Shyamapad Gangopadhyaya,Kotulpur,Koalpara
West Bengal,Bankura,WHOLESALER,Swapan Kumar Maji,,
West Bengal,Bankura,WHOLESALER,Debendu Duary,,
West Bengal,Bankura,WHOLESALER,Mujibar Rahaman Mondal,,
West Bengal,Bankura,WHOLESALER,Prasanta Kundu,,
West Bengal,Bankura,WHOLESALER,Sanjit Biswas,,Sub District Headquater
West Bengal,Bankura,WHOLESALER,Santanu Roy,,Sub District Headquater
West Bengal,Bankura,WHOLESALER,Sk. Safiur Rahaman,,Sub District Headquater
West Bengal,Bankura,WHOLESALER,Subarna Bag,,Sub District Headquater
West Bengal,Bankura,WHOLESALER,Subhasis Rakhit,,
West Bengal,Bankura,WHOLESALER,Sujit Kumar Nandi,,
West Bengal,Bankura,WHOLESALER,Sri Ujjwal Dutta,Bankura - I,
West Bengal,Bankura,WHOLESALER,Kalyan Kumar Ghar,Sonamukhi,Sonamukhi (P)
West Bengal,Bankura,WHOLESALER,Uma Kanta Pal,Sonamukhi,Patjor
West Bengal,Bankura,WHOLESALER,Smt. Sandhya Rani Sen,Raipur,Phulkusma
West Bengal,Bankura,WHOLESALER,Nepal Chandra Ghosh,Barjora,
West Bengal,Bankura,WHOLESALER,Mahadeb Ghosh,Kotulpur,Karak Berya
